,jour,nb_voies,gravite_accident,age,luminosite_Crépuscule ou aube,luminosite_Nuit avec éclairage public allumé,luminosite_Nuit avec éclairage public non allumé,luminosite_Nuit sans éclairage public,luminosite_Plein jour,type_route_Autre,type_route_Hors réseau public,type_route_Parc de stationnement ouvert à la circulation publique,type_route_Route Départementale,type_route_Route Nationale,type_route_Voie Communale,conditions_atmosperiques_Autre,conditions_atmosperiques_Brouillard - fumée,conditions_atmosperiques_Neige - grêle,conditions_atmosperiques_Normale,conditions_atmosperiques_Pluie forte,conditions_atmosperiques_Pluie légère,conditions_atmosperiques_Temps couvert,conditions_atmosperiques_Temps éblouissant,conditions_atmosperiques_Vent fort - tempête,categorie_usager_Conducteur,categorie_usager_Passager,categorie_usager_Piéton,categorie_usager_Piéton en roller ou en trottinette,sexe_F,sexe_M,arrondissement_01,arrondissement_02,arrondissement_03,arrondissement_04,arrondissement_05,arrondissement_06,arrondissement_07,arrondissement_08,arrondissement_09,arrondissement_10,arrondissement_11,arrondissement_12,arrondissement_13,arrondissement_14,arrondissement_15,arrondissement_16,arrondissement_17,arrondissement_18,arrondissement_19,arrondissement_20,piste_cyclable_False,piste_cyclable_True
200500004591,1,2.0,1.0,36.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200500004597,0,3.0,0.0,26.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200500004600,0,4.0,0.0,31.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
200500004627,2,2.0,1.0,57.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200500004630,2,4.0,1.0,26.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
200500004645,3,4.0,1.0,46.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
200500004662,5,3.0,1.0,29.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
200500004680,2,4.0,1.0,42.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
200500004681,3,1.0,1.0,41.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
200500004743,0,1.0,1.0,26.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200500004758,4,2.0,0.0,22.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200500004777,2,2.0,1.0,29.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200500004789,3,2.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200500004804,4,4.0,1.0,60.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
